ID;Data;Provenienza;URL;Esito;Categorie;Dominio;Creato;Aggiornato;Scadenza;Nome del registrante;Organizzazione registrante;Città e/o regione del registrante;Nome Registrar;Email;Numero di Malware Trovati;;;;Tipologia di Malware;Famiglie del Malware;Dominio;FilePath;IP
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;748977_t.dunbar_to.zip;31.209.100.244
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;punishable_B6A00.zip;203.87.129.160
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;ustresigildodd_143BDFD.zip;154.68.22.115
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;eucuzoat2620_A41FE.zip;172.5.7.71
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;4A9A6_eobaoty4156.zip;116.74.126.63
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;sabina_162.zip;200.87.82.200
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;tcavok_27D1718.zip;70.158.30.196
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;attached_leonian_927242.zip;106.194.13.47
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;pruriencew5E809E_062370.zip;178.60.32.163
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;attached_glaweh_800758.zip;217.219.9.114
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;ama2000_de_profile_373833.zip;42.113.177.233
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;unysymafy94507A9085_083135.zip;121.245.136.205
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;pdf_profile-ulazoe_330118.zip;200.48.192.82
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;xeonetoku5951_copies_505963.zip;39.43.90.38
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;financial-lsoihoshi_296022.zip;117.198.37.83
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;bingesdll65_freport_505209.zip;117.218.48.85
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;yfyovuk9555_report_xls_192799.zip;187.221.124.30
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;tudoran-iulian_doc_492733.zip;5.57.79.25
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;document_noodex5981_301701.zip;150.165.25.254
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;document_leshadwana_394761.zip;60.254.1.163
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;updated_aucijaze7127_350295.zip;89.42.47.161
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;updated_ion1948n_325819.zip;191.98.147.18
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;updated_ekidun9816_031124.zip;61.2.10.104
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;lisa.paus1_scan_report_509811.zip;197.149.179.107
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;hgorgull_scan_report_710090.zip;103.255.4.100
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;dotuofe4397_scan_report_581387.zip;179.63.253.6
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;jisima_unpaid_122160.zip;200.58.184.58
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;adrian_dem_payment_667311.zip;43.224.221.227
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;ocebycib3511_payment_549390.zip;201.145.0.205
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;wasana_scanned_603555.zip;160.157.72.28
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;orneel_unpaid_870841.zip;105.106.25.148
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;unpaid_cialott_vo_950142.zip;27.97.250.161
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;unpaid_gjofficer_620474.zip;61.3.54.64
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;linus.hierholzerd_invoice_498512.zip;5.220.247.99
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;argon_addition_216952.zip;125.166.198.45
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;owyoavu2024_addition_375714.zip;187.140.242.143
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;changes_cfe5.9a2.compute.zip;103.238.229.6
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;doc_copy_marcus.runkel.zip;93.51.199.180
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;invitation_ytici6595.zip;117.0.123.170
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;weekly_marianelaoralia.zip;103.21.168.250
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;copy_invoice_72D43A6F.zip;190.188.115.157
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;copy_invoice_D0FE4CDA.zip;187.208.84.240
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;copy_invoice_F043F76C.zip;70.158.30.196
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;frotetrotet.ich.jtet.c_copies_FE833F77.zip;151.237.219.248
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;codi.vnn_unpaid_E7C673F2.zip;154.120.85.219
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;ireteexi3032_unpaid_B825DB97.zip;213.207.226.91
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;fechavarria_order_78F13F53.zip;89.137.53.174
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;aurent.crivello_proposal_E4B9EBEF.zip;42.114.5.20
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;fyiqyvyd2404_proposal_DE6F37C4.zip;178.135.82.182
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;uubysf_3080B9B3.zip;117.201.102.64
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;paacorps_75AC7B8E.zip;59.97.240.194
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;xukoatezo4697_D013A6D3.zip;78.38.21.4
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;other names_330BCD.zip;197.2.5.80
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;general journal entries_1CB3B5.zip;5.160.107.10
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;inventory adjustments_557052.zip;193.95.29.12
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;fixed asset_7CFD80.zip;95.128.191.170
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day', 'Win.Malware.Locky-9627'];xhamster.com;export_xls_837.zip;94.97.243.77
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;item receipts_5E8AB6.zip;59.90.113.175
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day', 'Win.Malware.Locky-11584'];xhamster.com;wire_xls_ACD.zip;216.226.249.36
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day', 'Win.Malware.Locky-9209'];xhamster.com;export_xls_07A.zip;117.204.193.137
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day', 'Win.Malware.Locky-8202'];xhamster.com;wire_xls_136.zip;197.27.55.194
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day', 'Win.Malware.Locky-7990', 'Win.Malware.Locky-9013'];xhamster.com;export_xls_D75.zip;182.186.177.153
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;transfers_D5A.zip;59.96.103.173
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;account_478.zip;186.113.243.69
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;PDF_583.zip;190.18.136.90
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;385091_6402081028.zip;217.253.211.86
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;Order Ankunding-Kiehn_rsBKDGCwbeAZFTs2GB.zip;92.51.117.243
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;Fax-2805205.zip;75.138.51.66
;;;;;;;;;;;;;;;;;;;SPM;['Spam Zero-Day'];xhamster.com;Doc#988326.zip;217.165.121.244
2;2021-04-22;c.n.c.p.o.;https://www.facileporno.com/;Corretto;Pornography: Includes Web sites containing the depiction of sexually explicit activities and erotic content unsuitable to persons under the age of 18.;facileporno.com;2017-04-04;2021-03-25;2022-04-03;Mera Borja;TechPump Solutions S.L.;Gijon, None;Eurodns S.A.;['legal@eurodns.com', 'legalservices@eurodns.com', 'soporte@monetia.com'];0;;;;############;############;############;############;############
3;2021-04-22;c.n.c.p.o.;https://www.xnxx.com/search/porno%20italiano;Corretto;Pornography: Includes Web sites containing the depiction of sexually explicit activities and erotic content unsuitable to persons under the age of 18.;xnxx.com;2002-04-08;2020-04-30;2024-04-08;REDACTED FOR PRIVACY;NKL s.r.o.;Paris, Paris;GANDI SAS;['abuse@support.gandi.net', '56252a067449f6a18e6c0bd0af3f9af1-1899176@contact.gandi.net'];0;;;;############;############;############;############;############
4;2021-04-22;c.n.c.p.o.;https://www.voglioporno.com/piu-visti/;Corretto;Pornography: Includes Web sites containing the depiction of sexually explicit activities and erotic content unsuitable to persons under the age of 18.;voglioporno.com;2012-08-23;2020-08-17;2021-08-22;Whois Privacy;Whois Privacy (enumDNS dba);Root-sur-Syre, None;Eurodns S.A.;['legal@eurodns.com', 'legalservices@eurodns.com', '4de586df11872d5c_o@whoisprivacy.com', '4de586df11872d5c_a@whoisprivacy.com', '4de586df11872d5c_t@whoisprivacy.com'];0;;;;############;############;############;############;############
